item_id,content,type,start_time,end_time,confidence,video_filename,tester_name
31,haven't,pronunciation,15.3,15.5,0.993,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
32,got,pronunciation,15.5,15.539,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
33,a,pronunciation,15.539,15.659,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
34,really,pronunciation,15.659,16.26,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
35,clear,pronunciation,16.27,16.62,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
36,sense,pronunciation,16.62,16.86,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
37,of,pronunciation,16.86,16.94,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
38,what,pronunciation,16.94,17.18,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
39,the,pronunciation,17.18,17.26,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
40,word,pronunciation,17.26,17.649,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
41,means,pronunciation,17.649,17.86,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
42,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
43,but,pronunciation,17.94,18.139,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
44,I,pronunciation,18.139,18.34,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
45,would,pronunciation,18.34,18.659,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
46,.,punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
47,Assume,pronunciation,19.53,20.35,0.882,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
48,or,pronunciation,20.35,21.09,0.871,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
49,in,pronunciation,21.09,21.29,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
50,this,pronunciation,21.29,21.489,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
51,context,pronunciation,21.489,21.809,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
52,that,pronunciation,21.809,21.959,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
53,it's,pronunciation,21.959,22.51,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
54,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
55,you,pronunciation,22.53,22.61,0.805,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
56,know,pronunciation,22.61,22.719,0.739,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
57,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
58,about,pronunciation,22.889,23.379,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
59,Giving,pronunciation,24.27,25.049,0.994,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
60,or,pronunciation,25.149,25.389,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
61,taking,pronunciation,25.389,25.93,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
62,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
63,uh,pronunciation,26.03,26.229,0.539,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
64,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
65,depending,pronunciation,26.989,27.149,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
66,on,pronunciation,27.149,27.27,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
67,which,pronunciation,27.27,27.51,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
68,side,pronunciation,27.51,27.67,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
69,you're,pronunciation,27.67,27.829,0.993,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
70,coming,pronunciation,27.829,28.069,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
71,from,pronunciation,28.069,28.409,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
72,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
73,um,pronunciation,28.95,29.35,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
74,.,punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
75,Your,pronunciation,30.059,30.84,0.917,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
76,That's,pronunciation,32.36,32.759,0.642,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
77,very,pronunciation,32.759,33.119,0.574,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
78,cute,pronunciation,33.119,33.34,0.22,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
79,.,punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
80,Something,pronunciation,36.459,36.669,0.773,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
81,that,pronunciation,36.669,36.68,0.334,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
82,would,pronunciation,36.68,36.819,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
83,happen,pronunciation,36.819,37.099,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
84,in,pronunciation,37.099,37.34,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
85,a,pronunciation,37.34,37.729,0.874,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
86,in,pronunciation,37.729,37.86,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
87,a,pronunciation,37.86,38.09,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
88,partnership,pronunciation,38.09,38.659,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
89,where,pronunciation,38.659,39.139,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
90,one,pronunciation,39.139,39.419,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
91,person,pronunciation,39.419,39.919,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
92,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
93,for,pronunciation,40.099,40.369,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
94,example,pronunciation,40.369,41.04,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
95,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
96,um,pronunciation,41.659,42.229,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
97,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
98,undermines,pronunciation,42.34,42.979,0.993,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
99,the,pronunciation,42.979,43.06,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
100,other,pronunciation,43.06,43.259,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
101,one,pronunciation,43.259,43.419,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
102,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
103,doesn't,pronunciation,43.54,43.819,0.995,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
104,give,pronunciation,43.819,43.939,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
105,them,pronunciation,43.939,44.099,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
106,any,pronunciation,44.099,44.4,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
107,autonomy,pronunciation,44.74,45.419,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
108,at,pronunciation,45.419,45.58,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
109,all,pronunciation,45.58,45.88,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
110,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
111,like,pronunciation,45.939,46.139,0.995,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
112,wants,pronunciation,46.139,46.319,0.993,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
113,to,pronunciation,46.319,46.419,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
114,be,pronunciation,46.419,46.54,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
115,in,pronunciation,46.54,46.86,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
116,control,pronunciation,46.86,47.06,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
117,of,pronunciation,47.06,47.259,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
118,what,pronunciation,47.259,47.38,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
119,they,pronunciation,47.38,47.58,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
120,do,pronunciation,47.58,48.0,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
121,all,pronunciation,48.209,48.419,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
122,day,pronunciation,48.419,48.599,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
123,every,pronunciation,48.599,48.86,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
124,day,pronunciation,48.86,49.319,0.98,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
125,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
126,um,pronunciation,49.7,50.18,0.985,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
127,.,punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
128,No,pronunciation,51.31,52.029,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
129,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
130,nothing,pronunciation,52.189,52.79,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
131,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
132,you,pronunciation,53.069,53.47,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
133,know,pronunciation,53.47,53.549,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
134,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
135,if,pronunciation,53.59,53.709,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
136,you,pronunciation,53.709,53.83,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
137,don't,pronunciation,53.83,53.99,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
138,have,pronunciation,53.99,54.349,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
139,anything,pronunciation,54.349,54.79,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
140,private,pronunciation,54.79,55.29,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
141,to,pronunciation,55.43,55.79,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
142,yourself,pronunciation,55.79,56.049,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
143,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
144,um,pronunciation,56.75,57.099,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
145,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
146,because,pronunciation,57.11,57.229,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
147,your,pronunciation,57.229,57.349,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
148,partner,pronunciation,57.349,57.63,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
149,always,pronunciation,57.63,57.869,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
150,wants,pronunciation,57.869,58.11,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
151,to,pronunciation,58.11,58.569,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
152,check,pronunciation,59.189,59.31,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
153,your,pronunciation,59.31,59.47,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
154,phone,pronunciation,59.47,59.79,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
155,or,pronunciation,59.79,59.909,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
156,whatever,pronunciation,59.909,60.509,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
157,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
158,uh,pronunciation,60.819,61.099,0.601,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
159,hm,pronunciation,61.099,61.549,0.257,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
160,.,punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
161,Sort,pronunciation,63.11,63.299,0.958,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
162,of,pronunciation,63.299,63.509,0.99,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
163,gaslighting,pronunciation,63.509,64.269,0.988,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
164,maybe,pronunciation,64.269,64.51,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
165,would,pronunciation,64.51,64.75,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
166,fall,pronunciation,64.75,64.91,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
167,into,pronunciation,64.91,65.15,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
168,that,pronunciation,65.15,65.379,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
169,as,pronunciation,65.379,65.699,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
170,well,pronunciation,65.699,66.209,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
171,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
172,um,pronunciation,66.389,66.9,0.993,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
173,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
174,undermining,pronunciation,66.91,67.55,0.995,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
175,their,pronunciation,67.55,67.91,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
176,confidence,pronunciation,67.91,68.809,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
177,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
178,making,pronunciation,69.589,69.87,0.992,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
179,them,pronunciation,69.87,70.209,0.618,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
180,.,punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
181,You,pronunciation,71.839,72.0,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
182,know,pronunciation,72.0,72.199,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
183,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
184,feeling,pronunciation,72.68,72.959,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
185,as,pronunciation,72.959,73.12,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
186,though,pronunciation,73.12,73.55,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
187,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
188,sorry,pronunciation,74.199,74.269,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
189,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
190,I,pronunciation,74.279,74.4,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
191,keep,pronunciation,74.4,74.519,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
192,swapping,pronunciation,74.519,74.919,0.993,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
193,from,pronunciation,74.919,75.3,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
194,one,pronunciation,75.5,75.76,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
195,side,pronunciation,75.76,75.919,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
196,to,pronunciation,75.919,76.0,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
197,the,pronunciation,76.0,76.04,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
198,other,pronunciation,76.04,76.199,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
199,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
200,but,pronunciation,76.239,76.47,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
201,feeling,pronunciation,76.47,76.68,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
202,as,pronunciation,76.68,76.839,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
203,though,pronunciation,76.839,77.239,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
204,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
205,you,pronunciation,77.72,77.8,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
206,know,pronunciation,77.8,77.919,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
207,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
208,you're,pronunciation,78.04,78.239,0.991,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
209,really,pronunciation,78.239,78.599,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
210,dependent,pronunciation,78.599,78.879,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
211,on,pronunciation,78.879,78.989,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
212,the,pronunciation,78.989,79.12,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
213,person,pronunciation,79.12,79.739,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
214,and,pronunciation,79.739,80.04,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
215,you've,pronunciation,80.04,80.16,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
216,got,pronunciation,80.16,80.36,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
217,no,pronunciation,80.36,80.559,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
218,worth,pronunciation,80.559,81.059,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
219,outside,pronunciation,81.059,81.239,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
220,of,pronunciation,81.239,81.68,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
221,the,pronunciation,81.68,81.91,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
222,relationship,pronunciation,81.91,82.4,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
223,or,pronunciation,82.4,82.519,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
224,whatever,pronunciation,82.519,83.019,1.0,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
225,.,punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
226,Um,pronunciation,83.4,83.68,0.933,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
227,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
228,not,pronunciation,83.8,83.949,0.996,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
229,giving,pronunciation,83.949,84.239,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
